Device,fisica,model,key,version,1,AppVersion,3.3.2
Year,2013,Month,10,Day,2,Hour,18,Minute,48,Second,6,BatteryUsage (%),5.000000

comments
File created by Stages iPhone App.

sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,yes,yes,n/a
footpod,no,no,no,n/a
gps,yes,no,no,n/a
workout,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
,0,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

interval,starttime,runningtime,pausedtime,wheeldist,cadavg,spdavg,pwravg,pwrPedalContribution,hravg,striderateavg,stridedist,gpsdist
1,0.000000,2994.071728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,0.000000,0.000000,4078.541504

time,pwr_accdist,pwr_cadence,pwr_speed,pwr_torque,pwr_instpwr,pwr_rightPedal,pwr_leftPedal,spd_accdist,spd_instspeed,cad_cadence,hr_heartrate,disp_atmospressure,disp_altitude,disp_temperature,gps_altitude,gps_lat,gps_lon,gps_dist,gps_speed,fp_accsteps,fp_accdist,fp_speed,interval,paused
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.923722,35.593051,-97.609875,19.591420,0.534814,0.000000,0.000000,0.000000,1,0
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,336.984537,35.593047,-97.609873,20.126234,0.534814,0.000000,0.000000,0.000000,1,0
21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.123680,0.000000,0.000000,0.000000,337.003088,35.593042,-97.609876,20.880466,0.908146,0.000000,0.000000,0.000000,1,0
22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.330673,0.000000,0.000000,0.000000,336.991992,35.593035,-97.609883,21.788612,0.908146,0.000000,0.000000,0.000000,1,0
23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.330673,0.000000,0.000000,0.000000,336.980897,35.593029,-97.609889,22.696758,0.908146,0.000000,0.000000,0.000000,1,0
24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,336.969801,35.593023,-97.609896,23.604904,0.908146,0.000000,0.000000,0.000000,1,0
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.000000,0.000000,0.000000,0.000000,336.887891,35.593015,-97.609898,24.619104,1.127206,0.000000,0.000000,0.000000,1,0
26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.000000,0.000000,0.000000,0.000000,336.730526,35.593005,-97.609896,25.746310,1.127206,0.000000,0.000000,0.000000,1,0
27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.497108,0.000000,0.000000,0.000000,336.573160,35.592995,-97.609893,26.873516,1.127206,0.000000,0.000000,0.000000,1,0
28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.497108,0.000000,0.000000,0.000000,336.530829,35.592985,-97.609890,28.063805,1.239216,0.000000,0.000000,0.000000,1,0
29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.000000,0.000000,0.000000,0.000000,336.577720,35.592974,-97.609886,29.303020,1.239216,0.000000,0.000000,0.000000,1,0
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.000000,0.000000,0.000000,0.000000,336.624610,35.592964,-97.609882,30.542236,1.239216,0.000000,0.000000,0.000000,1,0
31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.788986,0.000000,0.000000,0.000000,336.749507,35.592954,-97.609878,31.679808,1.046611,0.000000,0.000000,0.000000,1,0
32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.788986,0.000000,0.000000,0.000000,336.944213,35.592945,-97.609875,32.726420,1.046611,0.000000,0.000000,0.000000,1,0
33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.788986,0.000000,0.000000,0.000000,337.138918,35.592936,-97.609871,33.773031,1.046611,0.000000,0.000000,0.000000,1,0
34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.656250,0.000000,0.000000,0.000000,337.186893,35.592927,-97.609862,35.056478,1.444114,0.000000,0.000000,0.000000,1,0
35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.656250,0.000000,0.000000,0.000000,337.135327,35.592919,-97.609850,36.500592,1.444114,0.000000,0.000000,0.000000,1,0
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,83.000000,0.000000,0.000000,0.000000,337.083761,35.592910,-97.609838,37.944706,1.444114,0.000000,0.000000,0.000000,1,0
37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.000008,0.000000,0.000000,0.000000,337.002832,35.592902,-97.609825,39.457068,1.573990,0.000000,0.000000,0.000000,1,0
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.000008,0.000000,0.000000,0.000000,336.895389,35.592893,-97.609811,41.031058,1.573990,0.000000,0.000000,0.000000,1,0
39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.987808,0.000000,0.000000,0.000000,336.893580,35.592885,-97.609800,42.479556,1.336126,0.000000,0.000000,0.000000,1,0
40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.987808,0.000000,0.000000,0.000000,336.986360,35.592875,-97.609790,43.815682,1.336126,0.000000,0.000000,0.000000,1,0
41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.987808,0.000000,0.000000,0.000000,337.079140,35.592866,-97.609781,45.151808,1.336126,0.000000,0.000000,0.000000,1,0
42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,0.000000,0.000000,0.000000,337.152782,35.592856,-97.609773,46.530518,1.428165,0.000000,0.000000,0.000000,1,0
43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.000000,0.000000,0.000000,0.000000,337.204195,35.592843,-97.609768,47.958683,1.428165,0.000000,0.000000,0.000000,1,0
44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85.000000,0.000000,0.000000,0.000000,337.255609,35.592831,-97.609763,49.386848,1.428165,0.000000,0.000000,0.000000,1,0
45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.000000,0.000000,0.000000,0.000000,337.321801,35.592819,-97.609761,50.768103,1.293223,0.000000,0.000000,0.000000,1,0
46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.000000,0.000000,0.000000,0.000000,337.415724,35.592808,-97.609764,52.061326,1.293223,0.000000,0.000000,0.000000,1,0
47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.000000,0.000000,0.000000,0.000000,337.509647,35.592797,-97.609767,53.354549,1.293223,0.000000,0.000000,0.000000,1,0
48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.597252,0.000000,0.000000,0.000000,337.520308,35.592785,-97.609771,54.661380,1.328390,0.000000,0.000000,0.000000,1,0
49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.597252,0.000000,0.000000,0.000000,337.399056,35.592774,-97.609776,55.989770,1.328390,0.000000,0.000000,0.000000,1,0
50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.597252,0.000000,0.000000,0.000000,337.277805,35.592763,-97.609782,57.318160,1.328390,0.000000,0.000000,0.000000,1,0
51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.000000,0.000000,0.000000,0.000000,337.347695,35.592752,-97.609788,58.634007,1.303633,0.000000,0.000000,0.000000,1,0
52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.330856,0.000000,0.000000,0.000000,337.603722,35.592742,-97.609794,59.937639,1.303633,0.000000,0.000000,0.000000,1,0
53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.330856,0.000000,0.000000,0.000000,337.859750,35.592731,-97.609799,61.241272,1.303633,0.000000,0.000000,0.000000,1,0
54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.999992,0.000000,0.000000,0.000000,338.005320,35.592720,-97.609806,62.542659,1.299802,0.000000,0.000000,0.000000,1,0
55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.999992,0.000000,0.000000,0.000000,338.072957,35.592710,-97.609813,63.842461,1.299802,0.000000,0.000000,0.000000,1,0
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.330910,0.000000,0.000000,0.000000,338.140594,35.592700,-97.609820,65.142263,1.299802,0.000000,0.000000,0.000000,1,0
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.330910,0.000000,0.000000,0.000000,338.183910,35.592689,-97.609827,66.471090,1.371402,0.000000,0.000000,0.000000,1,0
58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.397408,0.000000,0.000000,0.000000,338.191551,35.592678,-97.609833,67.842491,1.371402,0.000000,0.000000,0.000000,1,0
